Houston, Harris County, Texas, United States(User entered: houston)
                        date  temperature_2m_max  temperature_2m_min  uv_index_max  precipitation_sum  wind_speed_10m_max
0  2024-06-07 05:00:00+00:00           90.813202           75.693199          8.75           0.000000            7.726561
1  2024-06-08 05:00:00+00:00           89.103203           75.333206          8.75           0.000000            9.986646
2  2024-06-09 05:00:00+00:00           88.743202           76.683205          6.85           0.000000           11.671053
3  2024-06-10 05:00:00+00:00           88.563202           75.243202          8.80           0.000000           11.459031
4  2024-06-11 05:00:00+00:00           90.093193           74.523201          8.75           0.370079           10.106191
5  2024-06-12 05:00:00+00:00           89.283203           75.513199          8.75           0.397638            7.713597
6  2024-06-13 05:00:00+00:00           90.093193           77.313202          8.50           0.240157            7.337905
7  2024-06-14 05:00:00+00:00           91.173203           78.123199          8.80           0.000000            6.703539
8  2024-06-15 05:00:00+00:00           90.903198           75.063202          8.75           0.000000           10.611023
9  2024-06-16 05:00:00+00:00           90.633194           76.593201          8.75           0.000000           10.981824
10 2024-06-17 05:00:00+00:00           86.853203           77.313202          7.50           0.000000           14.395229
11 2024-06-18 05:00:00+00:00           85.863205           76.953201          8.70           0.000000           13.513036
12 2024-06-19 05:00:00+00:00           84.783203           75.783203          6.35           7.771654           12.616759
13 2024-06-20 05:00:00+00:00           87.303207           77.313202          8.80           0.015748           12.081872
14 2024-06-21 05:00:00+00:00           89.553207           77.043198          8.25           0.141732            9.629499
15 2024-06-22 05:00:00+00:00           88.383202           77.223198          8.75           0.000000            8.727168
16 2024-06-23 05:00:00+00:00           89.733200           75.513199          8.50           0.807087            8.252681
17 2024-06-24 05:00:00+00:00           89.913200           78.753204          8.00           0.000000            9.017635
City of New York, New York, United States(User entered: new york)
                        date  temperature_2m_max  temperature_2m_min  uv_index_max  precipitation_sum  wind_speed_10m_max
0  2024-06-07 04:00:00+00:00           84.525803           66.795799          7.95           0.000000           19.286261
1  2024-06-08 04:00:00+00:00           79.485794           60.135799          7.25           0.000000           16.131237
2  2024-06-09 04:00:00+00:00           76.875801           65.625801          7.65           0.000000           17.558668
3  2024-06-10 04:00:00+00:00           75.975800           61.575798          7.70           0.000000           12.537183
4  2024-06-11 04:00:00+00:00           72.915802           58.785801          7.60           0.000000            7.109297
5  2024-06-12 04:00:00+00:00           77.235794           62.205803          7.60           0.000000            8.065619
6  2024-06-13 04:00:00+00:00           84.615799           60.945797          7.85           0.000000           16.231743
7  2024-06-14 04:00:00+00:00           87.225800           67.425797          7.95           0.511811           10.243897
8  2024-06-15 04:00:00+00:00           81.375801           64.905800          7.80           0.000000           12.321790
9  2024-06-16 04:00:00+00:00           78.855804           58.785801          7.50           0.000000           11.077104
10 2024-06-17 04:00:00+00:00           85.965797           63.555801          7.95           0.000000           14.292313
11 2024-06-18 04:00:00+00:00           86.505798           68.595795          8.00           0.000000           12.795953
12 2024-06-19 04:00:00+00:00           88.215797           68.325798          7.90           0.000000           13.588738
13 2024-06-20 04:00:00+00:00           92.535805           68.775803          7.45           0.000000           11.908744
14 2024-06-21 04:00:00+00:00           96.045799           73.275803          7.95           0.000000           14.431684
15 2024-06-22 04:00:00+00:00           91.455803           74.805801          8.00           0.000000           11.077104
16 2024-06-23 04:00:00+00:00           96.405807           72.645798          7.95           0.000000           16.285606
17 2024-06-24 04:00:00+00:00           81.015800           67.965797          7.85           0.000000           22.708580
Chicago, Cook County, Illinois, United States(User entered: chicago)
                        date  temperature_2m_max  temperature_2m_min  uv_index_max  precipitation_sum  wind_speed_10m_max
0  2024-06-07 05:00:00+00:00           78.816200           56.316200          7.65           0.000000           20.586477
1  2024-06-08 05:00:00+00:00           74.496201           55.866203          7.45           0.366142           15.094363
2  2024-06-09 05:00:00+00:00           80.796204           54.066200          7.55           0.000000           17.811914
3  2024-06-10 05:00:00+00:00           63.336201           53.526199          7.45           0.000000           11.756495
4  2024-06-11 05:00:00+00:00           72.876198           48.486198          7.70           0.000000           11.811700
5  2024-06-12 05:00:00+00:00           89.706200           61.716202          7.70           0.000000            9.538123
6  2024-06-13 05:00:00+00:00           91.146202           68.016205          7.70           0.000000           15.198436
7  2024-06-14 05:00:00+00:00           79.356201           61.716202          7.60           0.000000           11.805341
8  2024-06-15 05:00:00+00:00           81.696205           58.296200          7.35           0.000000           15.830627
9  2024-06-16 05:00:00+00:00           93.756203           64.686203          7.55           0.000000           21.936293
10 2024-06-17 05:00:00+00:00           95.916199           73.146202          7.75           0.015748           16.072187
11 2024-06-18 05:00:00+00:00           91.416199           74.136200          7.70           0.000000           17.027670
12 2024-06-19 05:00:00+00:00           92.676193           72.336197          7.75           0.000000           11.406507
13 2024-06-20 05:00:00+00:00           76.926201           63.336201          7.25           0.000000           10.823474
14 2024-06-21 05:00:00+00:00           89.436203           63.336201          7.30           0.000000            9.440564
15 2024-06-22 05:00:00+00:00           92.136200           64.956200          7.10           0.000000           19.112936
16 2024-06-23 05:00:00+00:00           77.106201           66.126198          2.80           1.787402           10.908672
17 2024-06-24 05:00:00+00:00           75.666199           63.066200          7.60           0.000000            8.992629
